role;name;team;partite_valide;media_voto;fanta_media;goal_fatti;goal_subiti;rigori_parati;rigori_totali;rigori_segnati;rigori_sbagliati;assist;ammonizioni;espulsioni;autogoal;stagione;migliore
P;Rafael Cabral;Sampdoria;2;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Cordaz;Inter;1;7.0;7.0;0;0;0;0;0;0;0;0;0.0;0.0;2022-2023;0
P;Skorupski;Roma;1;6.5;6.5;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Letica;Sampdoria;1;6.5;6.5;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
P;Crespi;Crotone;1;6.5;6.5;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
P;Pegolo;Sassuolo;1;6.5;6.5;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
P;Gemello;Torino;1;6.5;6.5;0;0;0;0;0;0;0;0;0.0;0.0;2021-2022;0
P;Perilli;Verona;1;6.5;6.5;0;0;0;0;0;0;0;0;0.0;0.0;2022-2023;0
P;Sirigu;Fiorentina;1;6.5;6.5;0;0;0;0;0;0;0;0;0.0;0.0;2022-2023;0
P;Di Gennaro;Inter;1;6.5;6.5;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0
P;Pinsoglio;Juventus;1;6.5;6.5;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0
P;Rossi F.;Atalanta;1;6.5;6.5;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0
P;Sepe;Napoli;1;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Pinsoglio;Juventus;1;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2019-2020;0
P;Berardi A.;Verona;1;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
P;Zovko;Spezia;1;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2021-2022;0
P;Bardi;Bologna;1;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2022-2023;0
P;Contini;Napoli;1;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0
P;Luis Maximiano;Lazio;1;4.0;3.0;0;0;0;0;0;0;0;0;1.0;0.0;2022-2023;0
P;Radunovic;Atalanta;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Seculin;Chievo;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Donnarumma An.;Milan;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Berni;Inter;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Guerrieri;Lazio;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Marchetti;Lazio;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Gabriel;Milan;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Rafael Cabral;Napoli;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Lobont;Roma;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Pomini;Sassuolo;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Ichazo;Torino;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Padelli;Inter;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Karnezis;Udinese;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Coppola;Verona;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Marson;Sassuolo;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Storari;Milan;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Festa;Crotone;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Zima L.;Genoa;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Vargic;Lazio;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Tozzo;Sampdoria;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Satalino;Sassuolo;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Viscovo;Crotone;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Marchegiani;SPAL;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Poluzzi;SPAL;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Zaccagno;Torino;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Cotticelli;Benevento;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Cerofolini;Fiorentina;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Confente;Chievo;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Piscitelli;Benevento;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
