role;name;team
P;Sommer;Inter
P;Di Gregorio;Juventus
P;Meret;Napoli
P;Svilar;Roma
P;Maignan;Milan
P;Milinkovic-Savic V.;Torino
P;Gollini;Genoa
P;Skorupski;Bologna
P;Falcone;Lecce
P;De Gea;Fiorentina
P;Provedel;Lazio
P;Terracciano;Fiorentina
P;Carnesecchi;Atalanta
P;Vasquez D.;Empoli
P;Audero;Como
P;Turati;Monza
P;Montipo';Verona
P;Okoye;Udinese
P;Suzuki;Parma
P;Scuffet;Cagliari
P;Joronen;Venezia
P;Musso;Atalanta
P;Reina;Como
P;Caprile;Napoli
P;Perin;Juventus
P;Pizzignacco;Monza
P;Radunovic;Cagliari
P;Sportiello;Milan
P;Leali;Genoa
P;Donnarumma An.;Torino
P;Sommariva;Genoa
P;Perilli;Verona
P;Padelli;Udinese
P;Perisan;Empoli
P;Di Gennaro;Inter
P;Pinsoglio;Juventus
P;Plizzari;Venezia
P;Cragno;Monza
P;Silvestri;Udinese
P;Rossi F.;Atalanta
P;Fruchtl;Lecce
P;Ravaglia F.;Bologna
P;Vigorito;Como
P;Contini;Napoli
P;Rui Patricio;Atalanta
P;Brancolini;Empoli
P;Berardi A.;Verona
P;Ciocci;Cagliari
P;Martinez Jo.;Inter
P;Boer;Roma
P;Paleari;Torino
P;Rinaldi;Parma
P;Ryan;Roma
P;Bertinato;Venezia
P;Bagnolini;Bologna
P;Sorrentino A.;Monza
P;Martinelli T.;Fiorentina
P;Popa;Torino
P;Stankovic F.;Venezia
P;Christensen O.;Fiorentina
P;Furlanetto;Lazio
P;Mandas;Lazio
P;Nava;Milan
P;Samooja;Lecce
P;Sherri;Cagliari
P;Chiorra;Empoli
P;Chichizola;Parma
P;Corvi;Parma
P;Grandi;Venezia
P;Torriani;Milan
P;Marin Re.;Roma
P;Sava;Udinese
P;Seghetti;Empoli
D;Dimarco;Inter
D;Di Lorenzo;Napoli
D;Hernandez T.;Milan
D;Buongiorno;Napoli
D;Dumfries;Inter
D;Bremer;Juventus
D;Bastoni;Inter
D;Gosens;Fiorentina
D;Spinazzola;Napoli
D;Mancini;Roma
D;Pavard;Inter
D;Danilo;Juventus
D;Tomori;Milan
D;Bellanova;Atalanta
D;Martinez Quarta;Fiorentina
D;Cambiaso;Juventus
D;Zappacosta;Atalanta
D;Darmian;Inter
D;Rrahmani;Napoli
D;Angelino;Roma
D;Pavlovic;Milan
D;Ruggeri;Atalanta
D;Sergi Roberto;Como
D;Emerson Royal;Milan
D;Carlos Augusto;Inter
D;Dodo';Fiorentina
D;Dossena;Como
D;Coco;Torino
D;Masina;Torino
D;Biraghi;Fiorentina
D;Luperto;Cagliari
D;Acerbi;Inter
D;Pezzella Giu.;Empoli
D;N'Dicka;Roma
D;Kyriakopoulos;Monza
D;Hermoso;Roma
D;Ismajli;Empoli
D;Kossounou;Atalanta
D;Tavares N.;Lazio
D;Gatti;Juventus
D;Baschirotto;Lecce
D;Bijol;Udinese
D;Romagnoli;Lazio
D;Sabelli;Genoa
D;Lazzari;Lazio
D;Vasquez;Genoa
D;Perez N.;Udinese
D;Viti;Empoli
D;Olivera;Napoli
D;Ehizibue;Udinese
D;Beukema;Bologna
D;Dorgu;Lecce
D;Tchatchoua;Verona
D;Delprato;Parma
D;Izzo;Monza
D;De Vrij;Inter
D;Pereira P.;Monza
D;Hummels;Roma
D;Martin;Genoa
D;Varane;Como
D;Kolasinac;Atalanta
D;Mina;Cagliari
D;Smalling;Roma
D;Lazaro;Torino
D;Gabbia;Milan
D;Maripan;Torino
D;Miranda J.;Bologna
D;Mari';Monza
D;Vojvoda;Torino
D;Parisi;Fiorentina
D;Casale;Bologna
D;Pongracic;Fiorentina
D;Holm;Bologna
D;Gila;Lazio
D;Gigot;Lazio
D;Hien;Atalanta
D;Gaspar K.;Lecce
D;Idzes;Venezia
D;Sosa B.;Torino
D;Djimsiti;Atalanta
D;Zampano;Venezia
D;Hateboer;Atalanta
D;Marusic;Lazio
D;Bani;Genoa
D;Lykogiannis;Bologna
D;Ranieri L.;Fiorentina
D;Zortea;Cagliari
D;Candela;Venezia
D;Gallo;Lecce
D;Kalulu;Juventus
D;Erlic;Bologna
D;Godfrey;Atalanta
D;Moreno Alb.;Como
D;Scalvini;Atalanta
D;Zanoli;Genoa
D;Kamara H.;Udinese
D;De Winter;Genoa
D;Valeri;Parma
D;Gendrey;Lecce
D;Cabal;Juventus
D;Lucumi';Bologna
D;Posch;Bologna
D;Azzi;Cagliari
D;Marin R.;Napoli
D;Savona;Juventus
D;Rugani;Juventus
D;Calabria;Milan
D;Palomino;Cagliari
D;Walukiewicz;Torino
D;Augello;Cagliari
D;Zappa;Cagliari
D;Carboni A.;Monza
D;Balogh;Parma
D;Daniliuc;Verona
D;Guilbert;Lecce
D;Coppola D.;Verona
D;Schuurs;Torino
D;Pedersen;Torino
D;Giannetti L.;Udinese
D;Goglichidze;Empoli
D;Frese;Verona
D;Circati;Parma
D;Kempf;Como
D;Van Der Brempt;Como
D;Juan Jesus;Napoli
D;Patric;Lazio
D;Goldaniga;Como
D;Cuadrado;Atalanta
D;Kabasele;Udinese
