role;name;team;partite_valide;media_voto;fanta_media;goal_fatti;goal_subiti;rigori_parati;rigori_totali;rigori_segnati;rigori_sbagliati;assist;ammonizioni;espulsioni;autogoal;stagione;migliore;anno_finale
P;Skorupski;Roma;1;6.5;6.5;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0;2018
P;Pegolo;Sassuolo;1;6.5;6.5;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0;2021
P;Gemello;Torino;1;6.5;6.5;0;0;0;0;0;0;0;0;0.0;0.0;2021-2022;0;2022
P;Perilli;Verona;1;6.5;6.5;0;0;0;0;0;0;0;0;0.0;0.0;2022-2023;0;2023
P;Di Gennaro;Inter;1;6.5;6.5;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
P;Pinsoglio;Juventus;1;6.5;6.5;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
P;Rossi F.;Atalanta;1;6.5;6.5;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
P;Sepe;Napoli;1;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0;2018
P;Pinsoglio;Juventus;1;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2019-2020;0;2020
P;Berardi A.;Verona;1;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0;2021
P;Contini;Napoli;1;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
P;Luis Maximiano;Lazio;1;4.0;3.0;0;0;0;0;0;0;0;0;1.0;0.0;2022-2023;0;2023
P;Radunovic;Atalanta;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0;2018
P;Padelli;Inter;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0;2018
P;Cerofolini;Fiorentina;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0;2018
P;Padelli;Inter;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0;2019
P;Perisan;Udinese;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0;2019
